Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,Species
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Thylamys,,venustus
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Tlacuatzin,,
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Tlacuatzin,,canescens
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Tlacuatzin,,canescens
DIDELPHIMORPHIA,,,,Didelphidae,Didelphinae,,Tlacuatzin,,canescens
PAUCITUBERCULATA,,,,,,,,,
PAUCITUBERCULATA,,,,Caenolestidae,,,,,
PAUCITUBERCULATA,,,,Caenolestidae,,,Caenolestes,,
PAUCITUBERCULATA,,,,Caenolestidae,,,Caenolestes,,caniventer
PAUCITUBERCULATA,,,,Caenolestidae,,,Caenolestes,,condorensis
PAUCITUBERCULATA,,,,Caenolestidae,,,Caenolestes,,convelatus
PAUCITUBERCULATA,,,,Caenolestidae,,,Caenolestes,,convelatus
PAUCITUBERCULATA,,,,Caenolestidae,,,Caenolestes,,convelatus
PAUCITUBERCULATA,,,,Caenolestidae,,,Caenolestes,,fuliginosus
PAUCITUBERCULATA,,,,Caenolestidae,,,Caenolestes,,fuliginosus
PAUCITUBERCULATA,,,,Caenolestidae,,,Caenolestes,,fuliginosus
PAUCITUBERCULATA,,,,Caenolestidae,,,Caenolestes,,fuliginosus
PAUCITUBERCULATA,,,,Caenolestidae,,,Lestoros,,
PAUCITUBERCULATA,,,,Caenolestidae,,,Lestoros,,inca
PAUCITUBERCULATA,,,,Caenolestidae,,,Rhyncholestes,,
PAUCITUBERCULATA,,,,Caenolestidae,,,Rhyncholestes,,raphanurus
PAUCITUBERCULATA,,,,Caenolestidae,,,Rhyncholestes,,raphanurus
PAUCITUBERCULATA,,,,Caenolestidae,,,Rhyncholestes,,raphanurus
MICROBIOTHERIA,,,,,,,,,
MICROBIOTHERIA,,,,Microbiotheriidae,,,,,
MICROBIOTHERIA,,,,Microbiotheriidae,,,Dromiciops,,
MICROBIOTHERIA,,,,Microbiotheriidae,,,Dromiciops,,gliroides
NOTORYCTEMORPHIA,,,,,,,,,
NOTORYCTEMORPHIA,,,,Notoryctidae,,,,,
NOTORYCTEMORPHIA,,,,Notoryctidae,,,Notoryctes,,
NOTORYCTEMORPHIA,,,,Notoryctidae,,,Notoryctes,,caurinus
NOTORYCTEMORPHIA,,,,Notoryctidae,,,Notoryctes,,typhlops
DASYUROMORPHIA,,,,,,,,,
DASYUROMORPHIA,,,,Thylacinidae,,,,,
DASYUROMORPHIA,,,,Thylacinidae,,,Thylacinus,,
DASYUROMORPHIA,,,,Thylacinidae,,,Thylacinus,,cynocephalus
DASYUROMORPHIA,,,,Myrmecobiidae,,,,,
DASYUROMORPHIA,,,,Myrmecobiidae,,,Myrmecobius,,
DASYUROMORPHIA,,,,Myrmecobiidae,,,Myrmecobius,,fasciatus
DASYUROMORPHIA,,,,Myrmecobiidae,,,Myrmecobius,,fasciatus
DASYUROMORPHIA,,,,Myrmecobiidae,,,Myrmecobius,,fasciatus
DASYUROMORPHIA,,,,Dasyuridae,,,,,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,,,,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,,,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Dasycercus,,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Dasycercus,,cristicauda
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Dasykaluta,,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Dasykaluta,,rosamondae
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Dasyuroides,,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Dasyuroides,,byrnei
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Dasyurus,,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Dasyurus,,albopunctatus
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Dasyurus,,geoffroii
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Dasyurus,,hallucatus
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Dasyurus,,maculatus
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Dasyurus,,spartacus
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Dasyurus,,viverrinus
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Myoictis,,
