Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,Species,Subspecies
PAUCITUBERCULATA,,,,Caenolestidae,,,Lestoros,,,
PAUCITUBERCULATA,,,,Caenolestidae,,,Lestoros,,inca,
PAUCITUBERCULATA,,,,Caenolestidae,,,Rhyncholestes,,,
PAUCITUBERCULATA,,,,Caenolestidae,,,Rhyncholestes,,raphanurus,
PAUCITUBERCULATA,,,,Caenolestidae,,,Rhyncholestes,,raphanurus,raphanurus
PAUCITUBERCULATA,,,,Caenolestidae,,,Rhyncholestes,,raphanurus,continentalis
MICROBIOTHERIA,,,,,,,,,,
MICROBIOTHERIA,,,,Microbiotheriidae,,,,,,
MICROBIOTHERIA,,,,Microbiotheriidae,,,Dromiciops,,,
MICROBIOTHERIA,,,,Microbiotheriidae,,,Dromiciops,,gliroides,
NOTORYCTEMORPHIA,,,,,,,,,,
NOTORYCTEMORPHIA,,,,Notoryctidae,,,,,,
NOTORYCTEMORPHIA,,,,Notoryctidae,,,Notoryctes,,,
NOTORYCTEMORPHIA,,,,Notoryctidae,,,Notoryctes,,caurinus,
NOTORYCTEMORPHIA,,,,Notoryctidae,,,Notoryctes,,typhlops,
DASYUROMORPHIA,,,,,,,,,,
DASYUROMORPHIA,,,,Thylacinidae,,,,,,
DASYUROMORPHIA,,,,Thylacinidae,,,Thylacinus,,,
DASYUROMORPHIA,,,,Thylacinidae,,,Thylacinus,,cynocephalus,
DASYUROMORPHIA,,,,Myrmecobiidae,,,,,,
DASYUROMORPHIA,,,,Myrmecobiidae,,,Myrmecobius,,,
DASYUROMORPHIA,,,,Myrmecobiidae,,,Myrmecobius,,fasciatus,
DASYUROMORPHIA,,,,Myrmecobiidae,,,Myrmecobius,,fasciatus,fasciatus
DASYUROMORPHIA,,,,Myrmecobiidae,,,Myrmecobius,,fasciatus,rufus
DASYUROMORPHIA,,,,Dasyuridae,,,,,,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,,,,,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,,,,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Dasycercus,,,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Dasycercus,,cristicauda,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Dasykaluta,,,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Dasykaluta,,rosamondae,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Dasyuroides,,,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Dasyuroides,,byrnei,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Dasyurus,,,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Dasyurus,,albopunctatus,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Dasyurus,,geoffroii,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Dasyurus,,hallucatus,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Dasyurus,,maculatus,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Dasyurus,,spartacus,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Dasyurus,,viverrinus,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Myoictis,,,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Myoictis,,melas,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Myoictis,,wallacii,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Neophascogale,,,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Neophascogale,,lorentzi,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Parantechinus,,,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Parantechinus,,apicalis,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Phascolosorex,,,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Phascolosorex,,doriae,
DASYUROMORPHIA,,,,Dasyuridae,Dasyurinae,Dasyurini,Phascolosorex,,dorsalis,
